 Position.x[m] Position.y[m]
384987182.4292016029 3141554.5872471156
384987129.0785854459 3148085.7403497742
384987075.6171708703 3154616.8925464218
384987022.0449579954 3161148.0438351780
384986968.3619467020 3167679.1942141629
384986914.5681370497 3174210.3436814975
384986860.6635290980 3180741.4922353020
384986806.6481228471 3187272.6398736956
384986752.5219182372 3193803.7865948011
384986698.2849153876 3200334.9323967365
384986643.9371142387 3206866.0772776227
384986589.4785149097 3213397.2212355807
384986534.9091172814 3219928.3642687304
384986480.2289214730 3226459.5063751922
384986425.4379274249 3232990.6475530872
384986370.5361351967 3239521.7878005342
384986315.5235447288 3246052.9271156550
384986260.4001561999 3252584.0654965695
384986205.1659694910 3259115.2029413972
384986149.8209846616 3265646.3394482601
384986094.3652017117 3272177.4750152775
384986038.7986206412 3278708.6096405690
384985983.1212415695 3285239.7433222565
384985927.3330643773 3291770.8760584602
384985871.4340891242 3298302.0078472989
384985815.4243159294 3304833.1386868954
384985759.3037446141 3311364.2685753675
384985703.0723753572 3317895.3975108364
384985646.7302081585 3324426.5254914239
384985590.2772428989 3330957.6525152489
384985533.7134797573 3337488.7785804323
384985477.0389186144 3344019.9036850939
384985420.2535596490 3350551.0278273551
384985363.3574027419 3357082.1510053342
384985306.3504479527 3363613.2732171542
384985249.2326952815 3370144.3944609337
384985192.0041447282 3376675.5147347930
384985134.6647963524 3383206.6340368544
384985077.2146502137 3389737.7523652362
384985019.6537062526 3396268.8697180590
384984961.9819644690 3402799.9860934438
384984904.1994249821 3409331.1014895109
384984846.3060876727 3415862.2159043797
384984788.3019526601 3422393.3293361724
384984730.1870199442 3428924.4417830086
384984671.9612895250 3435455.5532430075
384984613.6247614026 3441986.6637142906
384984555.1774355769 3448517.7731949785
384984496.6193121672 3455048.8816831899
384984437.9503911138 3461579.9891770477
384984379.1706724167 3468111.0956746703
384984320.2801561356 3474642.2011741786
384984261.2788422704 3481173.3056736938
384984202.1667308211 3487704.4091713340
384984142.9438217878 3494235.5116652222
384984083.6101152897 3500766.6131534772
384984024.1656112671 3507297.7136342195
384983964.6103096604 3513828.8131055702
384983904.9442106485 3520359.9115656498
384983845.1673141718 3526891.0090125767
384983785.2796202898 3533422.1054444737
384983725.2811288834 3539953.2008594596
384983665.1718401313 3546484.2952556554
384983604.9517539740 3553015.3886311813
384983544.6208704114 3559546.4809841579
384983484.1791895032 3566077.5723127052
384983423.6267112494 3572608.6626149439
384983362.9634356499 3579139.7518889946
384983302.1893627644 3585670.8401329764
384983241.3044925928 3592201.9273450114
384983180.3088251352 3598733.0135232192
384983119.2023604512 3605264.0986657185
384983057.9850985408 3611795.1827706331
384982996.6570393443 3618326.2658360810
384982935.2181829810 3624857.3478601822
384982873.6685294509 3631388.4288410586
384982812.0080786943 3637919.5087768305
384982750.2368308306 3644450.5876656165
384982688.3547858000 3650981.6655055387
384982626.3619437218 3657512.7422947176
384982564.2583045363 3664043.8180312719
384982502.0438681841 3670574.8927133237
384982439.7186348438 3677105.9663389931
384982377.2826044559 3683637.0389063982
384982314.7357770205 3690168.1104136631
384982252.0781525970 3696699.1808589054
384982189.3097311854 3703230.2502402463
384982126.4305128455 3709761.3185558063
384982063.4404974580 3716292.3858037060
384982000.3396852016 3722823.4519820651
384981937.1280760169 3729354.5170890046
384981873.8056699038 3735885.5811226442
384981810.3724669814 3742416.6440811050
384981746.8284671307 3748947.7059625075
384981683.1736704111 3755478.7667649710
384981619.4080769420 3762009.8264866169
384981555.5316866636 3768540.8851255649
384981491.5444995761 3775071.9426799361
384981427.4465157390 3781602.9991478501
384981363.2377350926 3788134.0545274280
384981298.9181577563 3794665.1088167895
384981234.4877836704 3801196.1620140555
384981169.9466129541 3807727.2141173463
384981105.2946454883 3814258.2651247811
384981040.5318814516 3820789.3150344826
384980975.6583206654 3827320.3638445698
384980910.6739633083 3833851.4115531617
384980845.5788093805 3840382.4581583817
384980780.3728588223 3846913.5036583482
384980715.0561117530 3853444.5480511817
384980649.6285680532 3859975.5913350033
384980584.0902279019 3866506.6335079330
384980518.4410912395 3873037.6745680911
384980452.6811580658 3879568.7145135975
384980386.8104284406 3886099.7533425745
384980320.8289023042 3892630.7910531396
384980254.7365797758 3899161.8276434154
384980188.5334607959 3905692.8631115216
384980122.2195454836 3912223.8974555782
384980055.7948337197 3918754.9306737068
384979989.2593256831 3925285.9627640261
384979922.6130212545 3931816.9937246577
384979855.8559205532 3938348.0235537211
384979788.9880235195 3944879.0522493375
384979722.0093302131 3951410.0798096270
384979654.9198406339 3957941.1062327102
384979587.7195548415 3964472.1315167071
384979520.4084728360 3971003.1556597380
384979452.9865946174 3977534.1786599238
384979385.4539201856 3984065.2005153843
384979317.8104496002 3990596.2212242400
384979250.0561828613 3997127.2407846120
384979182.1911200285 4003658.2591946195
384979114.2152610421 4010189.2764523844
384979046.1286060214 4016720.2925560256
384978977.9311549664 4023251.3075036644
384978909.6229077578 4029782.3212934211
384978841.2038645744 4036313.3339234157
384978772.6740254164 4042844.3453917680
384978704.0333902240 4049375.3556966004
384978635.2819591165 4055906.3648360320
384978566.4197320342 4062437.3728081826
384978497.4467089772 4068968.3796111732
384978428.3628900647 4075499.3852431253
384978359.1682752967 4082030.3897021567
384978289.8628645539 4088561.3929863903
384978220.4466580749 4095092.3950939463
384978150.9196556807 4101623.3960229428
384978081.2818575501 4108154.3957715021
384978011.5332635641 4114685.3943377449
384977941.6738738418 4121216.3917197902
384977871.7036883831 4127747.3879157593
384977801.6227071881 4134278.3829237730
384977731.4309302568 4140809.3767419499
384977661.1283577085 4147340.3693684125
384977590.7149894238 4153871.3608012795
384977520.1908255219 4160402.3510386725
384977449.5558660030 4166933.3400787115
384977378.8101108670 4173464.3279195172
384977307.9535601139 4179995.3145592087
384977236.9862138629 4186526.2999959080
384977165.9080719948 4193057.2842277354
384977094.7191346288 4199588.2672528103
384977023.4194017649 4206119.2490692530
384976952.0088734031 4212650.2296751859
384976880.4875496030 4219181.2090687258
384976808.8554303050 4225712.1872479971
384976737.1125156283 4232243.1642111177
384976665.2588055730 4238774.1399562079
384976593.2943001390 4245305.1144813895
384976521.2189992666 4251836.0877847821
384976449.0329031348 4258367.0598645071
384976376.7360116243 4264898.0307186833
384976304.3283248544 4271429.0003454313
384976231.8098428249 4277959.9687428735
384976159.1805655360 4284490.9359091278
384976086.4404929876 4291021.9018423157
384976013.5896251798 4297552.8665405577
384975940.6279622316 4304083.8300019745
384975867.5555041432 4310614.7922246857
384975794.3722508550 4317145.7532068128
384975721.0782024264 4323676.7129464746
384975647.6733589172 4330207.6714417925
384975574.1577203274 4336738.6286908872
384975500.5312866569 4343269.5846918784
384975426.7940579057 4349800.5394428866
384975352.9460341930 4356331.4929420324
384975278.9872154593 4362862.4451874373
384975204.9176017642 4369393.3961772192
384975130.7371930480 4375924.3459094996
384975056.4459894300 4382455.2943824008
384974982.0439909101 4388986.2415940408
384974907.5311974287 4395517.1875425410
384974832.9076091051 4402048.1322260220
384974758.1732259989 4408579.0756426034
384974683.3280479908 4415110.0177904060
384974608.3720751405 4421640.9586675512
384974533.3053075671 4428171.8982721576
384974458.1277451515 4434702.8366023470
384974382.8393880725 4441233.7736562388
384974307.4402362704 4447764.7094319547
384974231.9302896857 4454295.6439276133
384974156.3095484972 4460826.5771413371
384974080.5780125856 4467357.5090712449
384974004.7356821299 4473888.4397154581
384973928.7825569510 4480419.3690720974
384973852.7186372876 4486950.2971392805
384973776.5439229608 4493481.2239151308
384973700.2584140897 4500012.1493977690
384973623.8621107340 4506543.0735853128
384973547.3550128341 4513073.9964758847
384973470.7371205091 4519604.9180676034
384973394.0084336996 4526135.8383585913
384973317.1689524055 4532666.7573469682
384973240.2186767459 4539197.6750308536
384973163.1576066613 4545728.5914083691
384973085.9857422709 4552259.5064776344
384973008.7030834556 4558790.4202367701
384972931.3096302748 4565321.3326838966
384972853.8053829074 4571852.2438171338
384972776.1903411746 4578383.1536346031
384972698.4645051956 4584914.0621344242
384972620.6278749704 4591444.9693147196
384972542.6804505587 4597975.8751736050
384972464.6222319007 4604506.7797092060
384972386.4532191157 4611037.6829196401
384972308.1734121442 4617568.5848030271
384972229.7828111053 4624099.4853574904
384972151.2814159393 4630630.3845811486
384972072.6692267060 4637161.2824721215
384971993.9462433457 4643692.1790285306
384971915.1124659777 4650223.0742484964
384971836.1678946018 4656753.9681301378
384971757.1125292778 4663284.8606715770
384971677.9463699460 4669815.7518709339
384971598.6694166660 4676346.6417263281
384971519.2816694975 4682877.5302358819
384971439.7831283808 4689408.4173977142
384971360.1737933755 4695939.3032099446
384971280.4536645412 4702470.1876706956
384971200.6227419376 4709001.0707780868
384971120.6810254455 4715531.9525302388
384971040.6285152435 4722062.8329252712
384970960.4652111530 4728593.7119613057
384970880.1911134720 4735124.5896364599
384970799.8062219620 4741655.4659488592
384970719.3105368018 4748186.3408966204
384970638.7040579915 4754717.2144778632
384970557.9867855310 4761248.0866907109
384970477.1587194204 4767778.9575332813
384970396.2198597193 4774309.8270036979
384970315.1702064276 4780840.6951000784
384970234.0097596049 4787371.5618205443
384970152.7385192513 4793902.4271632163
384970071.3564853668 4800433.2911262140
384969989.8636580706 4806964.1537076570
384969908.2600372434 4813495.0149056688
384969826.5456229448 4820025.8747183681
384969744.7204152942 4826556.7331438735
384969662.7844142914 4833087.5901803086
384969580.7376198769 4839618.4458257928
384969498.5800321102 4846149.3000784451
384969416.3116510510 4852680.1529363878
384969333.9324766994 4859211.0043977397
384969251.4425090551 4865741.8544606222
384969168.8417481780 4872272.7031231569
384969086.1301940680 4878803.5503834626
384969003.3078467250 4885334.3962396588
384968920.3747062683 4891865.2406898681
384968837.3307726383 4898396.0837322101
384968754.1760458946 4904926.9253648045
384968670.9105259776 4911457.7655857727
384968587.5342130661 4917988.6043932354
384968504.0471070409 4924519.4417853123
384968420.4492080212 4931050.2777601238
384968336.7405160069 4937581.1123157917
384968252.9210309386 4944111.9454504335
384968168.9907529950 4950642.7771621728
384968084.9496820569 4957173.6074491283
384968000.7978182435 4963704.4363094205
384967916.5351614952 4970235.2637411719
384967832.1617118716 4976766.0897424994
384967747.6774694920 4983296.9143115254
384967663.0824342370 4989827.7374463715
384967578.3766062260 4996358.5591451563
384967493.5599853992 5002889.3794060005
384967408.6325718760 5009420.1982270246
384967323.5943656564 5015951.0156063503
384967238.4453667402 5022481.8315420961
384967153.1855750680 5029012.6460323837
384967067.8149908185 5035543.4590753336
384966982.3336139917 5042074.2706690663
384966896.7414444685 5048605.0808117008
384966811.0384824872 5055135.8895013584
384966725.2247279286 5061666.6967361616
384966639.3001807928 5068197.5025142273
384966553.2648411989 5074728.3068336779
384966467.1187091470 5081259.1096926341
384966380.8617846370 5087789.9110892164
384966294.4940677285 5094320.7110215435
384966208.0155583620 5100851.5094877379
