 Position.x[m] Position.z[m]
384999995.5060841441 58824.4439111237
384999995.4904122353 58926.9255199254
384999995.4747130871 59029.4071287229
384999995.4589866400 59131.8887375163
384999995.4432329535 59234.3703463054
384999995.4274519086 59336.8519550904
384999995.4116436243 59439.3335638711
384999995.3958081007 59541.8151726477
384999995.3799452186 59644.2967814200
384999995.3640551567 59746.7783901881
384999995.3481377363 59849.2599989519
384999995.3321930766 59951.7416077116
384999995.3162211180 60054.2232164669
384999995.3002218604 60156.7048252180
384999995.2841953635 60259.1864339649
384999995.2681415677 60361.6680427075
384999995.2520604730 60464.1496514458
384999995.2359521389 60566.6312601798
384999995.2198165059 60669.1128689095
384999995.2036535740 60771.5944776350
384999995.1874634624 60874.0760863561
384999995.1712459922 60976.5576950729
384999995.1550012231 61079.0393037854
384999995.1387291551 61181.5209124936
384999995.1224299073 61284.0025211974
384999995.1061033010 61386.4841298969
384999995.0897493958 61488.9657385920
384999995.0733683109 61591.4473472828
384999995.0569598675 61693.9289559692
384999995.0405241847 61796.4105646513
384999995.0240612030 61898.8921733289
384999995.0075709224 62001.3737820022
384999994.9910534024 62103.8553906711
384999994.9745085835 62206.3369993356
384999994.9579364657 62308.8186079957
384999994.9413371086 62411.3002166513
384999994.9247104526 62513.7818253026
384999994.9080564976 62616.2634339494
384999994.8913753033 62718.7450425917
384999994.8746668100 62821.2266512297
384999994.8579310179 62923.7082598632
384999994.8411680460 63026.1898684922
384999994.8243776560 63128.6714771168
384999994.8075600863 63231.1530857368
384999994.7907151580 63333.6346943524
384999994.7738430500 63436.1163029636
384999994.7569435835 63538.5979115702
384999994.7400168180 63641.0795201723
384999994.7230628133 63743.5611287699
384999994.7060815096 63846.0427373630
384999994.6890730262 63948.5243459516
384999994.6720371842 64051.0059545356
384999994.6549740434 64153.4875631151
384999994.6378836036 64255.9691716901
384999994.6207659245 64358.4507802605
384999994.6036210060 64460.9323888263
384999994.5864487886 64563.4139973876
384999994.5692492127 64665.8956059443
384999994.5520224571 64768.3772144964
384999994.5347683430 64870.8588230439
384999994.5174869895 64973.3404315869
