Time[s] Mass[kg] Fuel[kg] FuelUsage[kg/s] Posx(t)[m] Posy(t)[m] Posz(t)[m] Velx(t)[m/s] Vely(t)[m/s] Velz(t)[m/s] EngineFx[N] EngineFy[N] EngineFz[N] NetFx[N] NetFy[N] NetFz[N] EKinx[J] EKiny[J] EKinz[J] EPotx[J] EPoty[J] EPotz[J] Method
16.5 9834 334 10 7.011488574 0 0 0.8370084022 0 0 500 0 0 500 0 0 4115.570313 0 0 0 0 0 2
16.6 9833 333 10 7.095952152 0 0 0.8420933203 0 0 500 0 0 500 0 0 4140.151809 0 0 0 0 0 2
16.7 9832 332 10 7.180924299 0 0 0.8471787556 0 0 500 0 0 500 0 0 4164.730763 0 0 0 0 0 2
16.8 9831 331 10 7.266405068 0 0 0.8522647082 0 0 500 0 0 500 0 0 4189.307173 0 0 0 0 0 2
16.9 9830 330 10 7.352394509 0 0 0.8573511782 0 0 500 0 0 500 0 0 4213.881041 0 0 0 0 0 2
17 9829 329 10 7.438892675 0 0 0.8624381657 0 0 500 0 0 500 0 0 4238.452365 0 0 0 0 0 2
17.1 9828 328 10 7.525899617 0 0 0.8675256708 0 0 500 0 0 500 0 0 4263.021146 0 0 0 0 0 2
17.2 9827 327 10 7.613415388 0 0 0.8726136936 0 0 500 0 0 500 0 0 4287.587383 0 0 0 0 0 2
17.3 9826 326 10 7.701440038 0 0 0.8777022342 0 0 500 0 0 500 0 0 4312.151076 0 0 0 0 0 2
17.4 9825 325 10 7.78997362 0 0 0.8827912927 0 0 500 0 0 500 0 0 4336.712225 0 0 0 0 0 2
17.5 9824 324 10 7.879016186 0 0 0.8878808692 0 0 500 0 0 500 0 0 4361.27083 0 0 0 0 0 2
17.6 9823 323 10 7.968567787 0 0 0.8929709639 0 0 500 0 0 500 0 0 4385.826889 0 0 0 0 0 2
17.7 9822 322 10 8.058628476 0 0 0.8980615768 0 0 500 0 0 500 0 0 4410.380404 0 0 0 0 0 2
17.8 9821 321 10 8.149198303 0 0 0.9031527081 0 0 500 0 0 500 0 0 4434.931373 0 0 0 0 0 2
17.9 9820 320 10 8.240277321 0 0 0.9082443578 0 0 500 0 0 500 0 0 4459.479797 0 0 0 0 0 2
18 9819 319 10 8.331865582 0 0 0.913336526 0 0 500 0 0 500 0 0 4484.025674 0 0 0 0 0 2
18.1 9818 318 10 8.423963138 0 0 0.9184292129 0 0 500 0 0 500 0 0 4508.569006 0 0 0 0 0 2
18.2 9817 317 10 8.51657004 0 0 0.9235224186 0 0 500 0 0 500 0 0 4533.109792 0 0 0 0 0 2
18.3 9816 316 10 8.609686341 0 0 0.9286161431 0 0 500 0 0 500 0 0 4557.64803 0 0 0 0 0 2
